,Place of Interest,Place Address,BiciMAD Station,BiciMAD Location,distance
212,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Tres Cruces,Calle Tres Cruces nº 7,1862.4763973853958
56,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza del Carmen ,Plaza del Carmen nº 1,1881.2155614075825
54,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Barceló,Calle Barceló nº 7,1882.9391103090154
258,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,1884.3340025547063
32,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de la Provincia,Plaza de la Provincia nº 1,1891.8643322976895
157,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,General Álvarez de Castro,Calle del General Álvarez de Castro nº 1,1901.8373952875622
37,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de San Francisco,Plaza de San Francisco nº 5,1925.3676801928666
203,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Canal,Calle José Abascal frente al nº 2,1927.3126239245469
38,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de los Carros,Carrera de San Francisco nº 1,1936.5808558580534
218,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Puerta del Ángel,Plaza Puerta del Ángel nº 4,1990.8228177256972
33,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Carretas,Calle Carretas nº 8,2021.2508708382766
163,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Manuel Silvela,Calle Manuel Silvela nº 20,2029.3509432627168
260,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria),2045.4757070788091
39,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de la Cebada,Plaza de la Cebada nº 16 ,2066.613743635632
40,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Conde de Romanones,Plaza del Conde de Romanones nº 9,2071.5816130221247
259,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),2080.266645524236
0,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Puerta del Sol A,Puerta del Sol nº 1,2086.4387199859025
257,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,2099.685794355659
1,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Puerta del Sol B,Puerta del Sol nº 1,2101.61853074065
34,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Jacinto Benavente,Plaza de Jacinto Benavente,2105.2239916616563
18,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,2115.003335875184
6,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Colegio Arquitectos,Calle Hortaleza nº 63,2138.3260925536983
150,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Bravo Murillo 44,Calle Bravo Murillo nº 44,2149.2892104026187
7,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Hortaleza,Calle Hortaleza nº 75,2193.959103514892
248,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Santa Engracia 87,Calle Santa Engracia nº 87,2205.8081914552067
238,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo Imperial,Paseo Imperial nº 20,2243.2067498801775
58,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Augusto Figueroa,Calle Augusto Figueroa nº 33,2246.4313719579363
124,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Santa Engracia 14,Calle Santa Engracia nº 14,2297.4612546788494
151,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Santa Engracia 127,Calle Santa Engracia nº 127,2320.0727609167566
28,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Sevilla,Calle Alcalá nº 27,2359.2858871131025
52,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de Santa Ana,Plaza de Santa Ana nº 10,2372.1737446326415
45,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,2413.6909817419573
155,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,José Abascal,Calle José Abascal nº 33,2427.743016060801
226,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Caramuel,Calle Caramuel nº 51,2428.8029025620835
8,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Alonso Martínez,Plaza de Alonso Martínez nº 5,2434.629757130792
225,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ermita Santo,Paseo de la Ermita del Santo nº 48,2469.263842534096
44,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,2490.4078447810784
19,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Prim,Calle Prim nº 2,2516.6732178554107
261,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Facultad Biología,Calle José Antonio Novais frente al nº 12,2544.279732860806
143,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,2563.2750513939213
43,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Jesús y María,Calle Lavapiés nº 34,2563.5565260147764
26,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de las Salesas,Plaza de las Salesas 7,2580.0455260932877
20,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Banco de España A,Calle Alcalá nº 49,2612.692209218851
158,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,General Martínez Campos ,Calle Fernández de la Hoz nº 29,2634.133089795812
206,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Cuatro Caminos 2,Calle Doctor Santero nº 1,2650.190990032031
41,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Antón Martín,Calle Atocha nº 54,2667.4673413604437
29,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Marqués de Cubas,Calle del Marqués de Cubas nº 25,2723.832074511951
239,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Pablo Iglesias,Calle Francisco Balseiro nº 1,2724.9141405952123
46,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,2747.184409862431
127,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Metro Pirámides,Paseo de los Olmos nº 28,2809.72256012361
10,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,2816.2811169405527
53,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de Lavapiés,Calle Valencia nº 1,2849.851729574387
42,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Santa Isabel,Calle Atocha nº 95,2851.34002303829
85,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Cibeles,Plaza Cibeles,2855.7852965570023
144,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,2874.6313847012707
27,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Huertas,Calle Jesús nº 1,2906.1716710896853
262,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Facultad Derecho,Avenida Complutense nº 23,2922.7265507687844
200,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Rubén Darío,Glorieta Rubén Darío 2,2928.168181096653
171,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Pirámides,Calle Toledo nº 181,2941.3190801138194
128,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo de la Esperanza,Paseo de la Esperanza nº 2,2952.304506084416
263,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Zurbano,Calle Zurbano nº 90,2970.750164403817
48,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Embajadores 2,Glorieta de Embajadores nº 2,2984.3453598888054
93,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Biblioteca Nacional,Paseo de Recoletos nº 20,3000.9710737580144
147,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Agustín de Betancourt,Calle María de Guzmán nº 58,3016.704681833191
47,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Embajadores 1,Glorieta de Embajadores nº 6,3026.713745125688
103,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Castellana,Paseo de la Castellana nº 4,3090.4906347105916
92,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de Colón,Calle Goya nº 1,3120.562025780178
152,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,3133.1292748878514
49,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Casa Encendida,Ronda de Atocha nº 34,3141.3676356177107
